AUTHOR,HOMONYMOUS,OPENALEX_AUTHOR_NAME,AUTHOR_ID,WORKS_API_URL
Gregory P. Falkin,0,Gregory P. Falkin,https://openalex.org/A5015308533,https://api.openalex.org/works?filter=author.id:A5015308533
Kian Farbakhsh,0,Kian Farbakhsh,https://openalex.org/A5038208204,https://api.openalex.org/works?filter=author.id:A5038208204
Ronald B. Mincy,0,Ronald B. Mincy,https://openalex.org/A5082856850,https://api.openalex.org/works?filter=author.id:A5082856850
Karen Leppel,0,Karen Leppel,https://openalex.org/A5080290797,https://api.openalex.org/works?filter=author.id:A5080290797
Elizabeth M. Zelinski,0,Elizabeth M. Zelinski,https://openalex.org/A5042075277,https://api.openalex.org/works?filter=author.id:A5042075277
Timothy J. Biblarz,0,Timothy J. Biblarz,https://openalex.org/A5062604453,https://api.openalex.org/works?filter=author.id:A5062604453
Peter T. Katzmarzyk,0,Peter T. Katzmarzyk,https://openalex.org/A5068517389,https://api.openalex.org/works?filter=author.id:A5068517389
Thomas L. Hafemeister,0,Thomas L. Hafemeister,https://openalex.org/A5002257603,https://api.openalex.org/works?filter=author.id:A5002257603
Sergei Scherbov,0,Sergei Scherbov,https://openalex.org/A5036911852,https://api.openalex.org/works?filter=author.id:A5036911852
Janet P. Stamatel,0,Janet P. Stamatel,https://openalex.org/A5022340843,https://api.openalex.org/works?filter=author.id:A5022340843
Samuel J. Meisels,0,Samuel J. Meisels,https://openalex.org/A5030817282,https://api.openalex.org/works?filter=author.id:A5030817282
Marilyn A. Winkleby,0,Marilyn A. Winkleby,https://openalex.org/A5045324440,https://api.openalex.org/works?filter=author.id:A5045324440
Linda Tickle-Degnen,0,Linda Tickle-Degnen,https://openalex.org/A5002878800,https://api.openalex.org/works?filter=author.id:A5002878800
Jeffrey T. Kullgren,0,Jeffrey T. Kullgren,https://openalex.org/A5084292901,https://api.openalex.org/works?filter=author.id:A5084292901
Terrie E. Moffitt,0,Terrie E. Moffitt,https://openalex.org/A5081542021,https://api.openalex.org/works?filter=author.id:A5081542021
Erich Weede,0,Erich Weede,https://openalex.org/A5058021341,https://api.openalex.org/works?filter=author.id:A5058021341
Matthew Neidell,0,Matthew Neidell,https://openalex.org/A5030963291,https://api.openalex.org/works?filter=author.id:A5030963291
Mark J. Sarnak,0,Mark J. Sarnak,https://openalex.org/A5076361487,https://api.openalex.org/works?filter=author.id:A5076361487
Barry M. Popkin,0,Barry M. Popkin,https://openalex.org/A5026342545,https://api.openalex.org/works?filter=author.id:A5026342545
Ofira Schwartz-Soicher,0,Ofira Schwartz-Soicher,https://openalex.org/A5034720358,https://api.openalex.org/works?filter=author.id:A5034720358
William D. Marelich,0,William D. Marelich,https://openalex.org/A5082914269,https://api.openalex.org/works?filter=author.id:A5082914269
Matthijs Kalmijn,0,Matthijs Kalmijn,https://openalex.org/A5082048045,https://api.openalex.org/works?filter=author.id:A5082048045
Kevin M. Drakulich,0,Kevin M. Drakulich,https://openalex.org/A5027061414,https://api.openalex.org/works?filter=author.id:A5027061414
Elizabeth A. Stasny,0,Elizabeth A. Stasny,https://openalex.org/A5078591145,https://api.openalex.org/works?filter=author.id:A5078591145
David A. Gorelick,0,David A. Gorelick,https://openalex.org/A5075445771,https://api.openalex.org/works?filter=author.id:A5075445771
Joel Tsevat,0,Joel Tsevat,https://openalex.org/A5066954006,https://api.openalex.org/works?filter=author.id:A5066954006
Arthur J. Lurigio,0,Arthur J. Lurigio,https://openalex.org/A5032513704,https://api.openalex.org/works?filter=author.id:A5032513704
Keith F. Widaman,0,Keith F. Widaman,https://openalex.org/A5027207733,https://api.openalex.org/works?filter=author.id:A5027207733
Erin L. Reutenauer,0,Erin L. Reutenauer,https://openalex.org/A5038526383,https://api.openalex.org/works?filter=author.id:A5038526383
Joseph A. Herriges,0,Joseph A. Herriges,https://openalex.org/A5058137453,https://api.openalex.org/works?filter=author.id:A5058137453
Zahra Shekarkhar,0,Zahra Shekarkhar,https://openalex.org/A5044159131,https://api.openalex.org/works?filter=author.id:A5044159131
William DeLeon-Granados,0,William DeLeon-Granados,https://openalex.org/A5070195524,https://api.openalex.org/works?filter=author.id:A5070195524
Andrew V. Bedrous,0,Andrew V. Bedrous,https://openalex.org/A5029831909,https://api.openalex.org/works?filter=author.id:A5029831909
Robert J. Blendon,0,Robert J. Blendon,https://openalex.org/A5053031863,https://api.openalex.org/works?filter=author.id:A5053031863
Franco Peracchi,0,Franco Peracchi,https://openalex.org/A5001566581,https://api.openalex.org/works?filter=author.id:A5001566581
Markus Kemmelmeier,0,Markus Kemmelmeier,https://openalex.org/A5001641699,https://api.openalex.org/works?filter=author.id:A5001641699
Lauren J. Krivo,0,Lauren J. Krivo,https://openalex.org/A5001936122,https://api.openalex.org/works?filter=author.id:A5001936122
Jennifer Flashman,0,Jennifer Flashman,https://openalex.org/A5070383164,https://api.openalex.org/works?filter=author.id:A5070383164
Carl M. Brezausek,0,Carl M. Brezausek,https://openalex.org/A5036935306,https://api.openalex.org/works?filter=author.id:A5036935306
Tabbye M. Chavous,0,Tabbye M. Chavous,https://openalex.org/A5004468885,https://api.openalex.org/works?filter=author.id:A5004468885
Eric A. Whitsel,0,Eric A. Whitsel,https://openalex.org/A5014338766,https://api.openalex.org/works?filter=author.id:A5014338766
Soham Al Snih,0,Soham Al Snih,https://openalex.org/A5090967772,https://api.openalex.org/works?filter=author.id:A5090967772
Marianne M. Hillemeier,0,Marianne M. Hillemeier,https://openalex.org/A5000314347,https://api.openalex.org/works?filter=author.id:A5000314347
Diane S. Lauderdale,0,Diane S. Lauderdale,https://openalex.org/A5086952550,https://api.openalex.org/works?filter=author.id:A5086952550
Hilary L. Surratt,0,Hilary L. Surratt,https://openalex.org/A5045499896,https://api.openalex.org/works?filter=author.id:A5045499896
John A. Batsis,0,John A. Batsis,https://openalex.org/A5070236628,https://api.openalex.org/works?filter=author.id:A5070236628
Laurence Lessard-Phillips,0,Laurence Lessard-Phillips,https://openalex.org/A5057639790,https://api.openalex.org/works?filter=author.id:A5057639790
Andrew J. Cherlin,0,Andrew J. Cherlin,https://openalex.org/A5033198222,https://api.openalex.org/works?filter=author.id:A5033198222
Cynthia M. Visness,0,Cynthia M. Visness,https://openalex.org/A5043173147,https://api.openalex.org/works?filter=author.id:A5043173147
Sarah M. Ovink,0,Sarah M. Ovink,https://openalex.org/A5015873403,https://api.openalex.org/works?filter=author.id:A5015873403
David Mechanic,0,David Mechanic,https://openalex.org/A5070849148,https://api.openalex.org/works?filter=author.id:A5070849148
David J. Eggebeen,0,David J. Eggebeen,https://openalex.org/A5044477518,https://api.openalex.org/works?filter=author.id:A5044477518
Philayrath Phongsavan,0,Philayrath Phongsavan,https://openalex.org/A5079849004,https://api.openalex.org/works?filter=author.id:A5079849004
Dietram A. Scheufele,0,Dietram A. Scheufele,https://openalex.org/A5064753440,https://api.openalex.org/works?filter=author.id:A5064753440
Carolyn A. Kapinus,0,Carolyn A. Kapinus,https://openalex.org/A5054346371,https://api.openalex.org/works?filter=author.id:A5054346371
Mary Frances Cotch,0,Mary Frances Cotch,https://openalex.org/A5021497564,https://api.openalex.org/works?filter=author.id:A5021497564
John M. Boltri,0,John M. Boltri,https://openalex.org/A5037208253,https://api.openalex.org/works?filter=author.id:A5037208253
Nathan R. Kuncel,0,Nathan R. Kuncel,https://openalex.org/A5054077385,https://api.openalex.org/works?filter=author.id:A5054077385
Helen S. Astin,0,Helen S. Astin,https://openalex.org/A5053780410,https://api.openalex.org/works?filter=author.id:A5053780410
David J. Dausey,0,David J. Dausey,https://openalex.org/A5038164883,https://api.openalex.org/works?filter=author.id:A5038164883
Ivana Sekol,0,Ivana Sekol,https://openalex.org/A5062749555,https://api.openalex.org/works?filter=author.id:A5062749555
Obioha C Ukoumunne,0,Obioha C Ukoumunne,https://openalex.org/A5071371634,https://api.openalex.org/works?filter=author.id:A5071371634
Brian Mustanski,0,Brian Mustanski,https://openalex.org/A5015506695,https://api.openalex.org/works?filter=author.id:A5015506695
Timothy M. Diette,0,Timothy M. Diette,https://openalex.org/A5083472457,https://api.openalex.org/works?filter=author.id:A5083472457
Sheila C. Dollard,0,Sheila C. Dollard,https://openalex.org/A5085491069,https://api.openalex.org/works?filter=author.id:A5085491069
Ellen Peisner-Feinberg,0,Ellen Peisner-Feinberg,https://openalex.org/A5049868478,https://api.openalex.org/works?filter=author.id:A5049868478
Maciej S. Buchowski,0,Maciej S. Buchowski,https://openalex.org/A5073671837,https://api.openalex.org/works?filter=author.id:A5073671837
Nancy Hughart,0,Nancy Hughart,https://openalex.org/A5013050278,https://api.openalex.org/works?filter=author.id:A5013050278
Sally Freels,0,Sally Freels,https://openalex.org/A5083098408,https://api.openalex.org/works?filter=author.id:A5083098408
Irina Kalutskaya,0,Irina Kalutskaya,https://openalex.org/A5083546567,https://api.openalex.org/works?filter=author.id:A5083546567
William E. Haley,0,William E. Haley,https://openalex.org/A5073103603,https://api.openalex.org/works?filter=author.id:A5073103603
Sarah B. Laditka,0,Sarah B. Laditka,https://openalex.org/A5043835680,https://api.openalex.org/works?filter=author.id:A5043835680
Lara Stemple,0,Lara Stemple,https://openalex.org/A5052881226,https://api.openalex.org/works?filter=author.id:A5052881226
Carolyn M. Sampselle,0,Carolyn M. Sampselle,https://openalex.org/A5004416616,https://api.openalex.org/works?filter=author.id:A5004416616
Yoshimi Chitose,0,Yoshimi Chitose,https://openalex.org/A5043479001,https://api.openalex.org/works?filter=author.id:A5043479001
Nicholas L. Danigelis,0,Nicholas L. Danigelis,https://openalex.org/A5044648566,https://api.openalex.org/works?filter=author.id:A5044648566
Larry R. Hearld,0,Larry R. Hearld,https://openalex.org/A5063336830,https://api.openalex.org/works?filter=author.id:A5063336830
Amanda NeMoyer,0,Amanda NeMoyer,https://openalex.org/A5030116145,https://api.openalex.org/works?filter=author.id:A5030116145
Karen L. Cropsey,0,Karen L. Cropsey,https://openalex.org/A5040663799,https://api.openalex.org/works?filter=author.id:A5040663799
Peggy Auinger,0,Peggy Auinger,https://openalex.org/A5069990999,https://api.openalex.org/works?filter=author.id:A5069990999
Richard J. Murnane,0,Richard J. Murnane,https://openalex.org/A5091397663,https://api.openalex.org/works?filter=author.id:A5091397663
Mary Beth Ofstedal,0,Mary Beth Ofstedal,https://openalex.org/A5078290445,https://api.openalex.org/works?filter=author.id:A5078290445
